1,26,IPS5_RYZEN5,67830023XE,20260724,163232,F,0,1,,FPPFPPPPPPNN,1,F,4,20260724,163157,0,,,0,0

 706, PC16891,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1152.2139924uF, 1
 1015, C12124,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1152.3085053uF, 1
 1016, C12125,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1152.7247148uF, 1
 1017, C12126,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1152.4900765uF, 1
 1018, C12127,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.7754856uF, 1
 1019, C12128,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.3221534uF, 1
 1020, C12129,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.6746552uF, 1
 1049, C1228,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.5673318uF, 1
 1050, C1229,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.0068643uF, 1
 1051, C1230,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.4348868uF, 1
 1052, C1231,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.1700249uF, 1
 1053, C1232,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.0261872uF, 1
 1054, C1233,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.4075987uF, 1
 1055, C1234,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1148.9902244uF, 1
 1056, C1235,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.0783522uF, 1
 1057, C1236,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.4905767uF, 1
 1058, C1237,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.4627318uF, 1
 1059, C1238,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.5211418uF, 1
 1060, C1239,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.4974884uF, 1
 1061, C1240,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1152.2996668uF, 1
 1062, C1241,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1152.9743541uF, 1
 1063, C1242,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.3471800uF, 1
 1064, C1243,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.2512442uF, 1
 1065, C1244,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.1301422uF, 1
 1066, C1245,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.0845581uF, 1
 1067, C1246,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.1859261uF, 1
 1068, C1247,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.7500472uF, 1
 1069, C1248,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1154.3232152uF, 1
 1070, C1249,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.9583275uF, 1
 1071, C1250,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1153.0260560uF, 1
 1072, C1251,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1152.7798068uF, 1
 1073, C1252,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.5178807uF, 1
 1074, C1253,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.8906825uF, 1
 1075, C1254,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.0810666uF, 1
 1076, C1255,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.0953262uF, 1
 1077, C1256,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.6913418uF, 1
 1078, C1257,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.3241188uF, 1
 1079, C1258,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.7293612uF, 1
 1080, C1259,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.9337206uF, 1
 1081, C1260,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.1223721uF, 1
 1082, C1261,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.0163738uF, 1
 1297, C8510,    2.200nF,    3.000nF,  30.0,  30.0, 2, C, 712, 713, A1, 4.0954915nF, 1
 1772, R4430,   100.00K ,    20.50K ,  30.0,  30.0, 2, R, 587, 437, A1, 13.2758031K , 1
