// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight
FAIL,1,723,N50Q_5,66830031VV,20260703,223729,F,0,0,,FPPFFPPPPPNN,1,F,0,20260703,223719,0,,,0,0,10.91 sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, HLim, LLim, Mode, Type, HPin, LPin, Loc, Msr_V, Result
 123, PR203,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 752, 753, G1, 4.0000000  , 1
 124, PR204,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1160, 1120, G7, 4.0000000  , 1
 127, PR217,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 751, 747, G1, 4.0000000  , 1
 129, PR225,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 750, 748, G1, 4.0000000  , 1
 133, PR308,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 763, 1156, G2, 4.0000000  , 1
 144, PR403,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1119, 1163, F7, 4.0000000  , 1
 151, PR410,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1163, 1115, E7, 4.0000000  , 1
 159, PR602,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1163, 1112, E7, 4.0000000  , 1
 161, PR605,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3285, 1114, E7, 4.0000000  , 1
 163, PR652,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1163, 1113, E7, 4.0000000  , 1
 164, PR653,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3285, 1107, E7, 4.0000000  , 1
 171, PR727,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3246, 3270, C4, 4.0000000  , 1
 172, PR728,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3284, 3276, C4, 4.0000000  , 1
 189, PR1401,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3203, 3234, C2, 4.0000000  , 1
 190, RA5,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 14, 1095, D1, 4.0000000  , 1
 191, RA10,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1, 599, E1, 4.0000000  , 1
 192, RA13,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1, 599, D7, 4.0000000  , 1
 193, RA15,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1, 599, E1, 4.0000000  , 1
 194, RA81,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1077, 1078, D1, 4.0000000  , 1
 195, RC2,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 913, 222, C4, 4.0000000  , 1
 196, RC9,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 346, 1005, C3, 4.0000000  , 1
 199, RC71,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 360, 150, D1, 4.0000000  , 1
 201, RC75,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 725, 724, F3, 4.0000000  , 1
 205, RC154,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3276, 3205, B5, 4.0000000  , 1
 208, RC186,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 344, 180, C3, 4.0000000  , 1
 209, RC188,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 352, 939, C5, 4.0000000  , 1
 213, RC198,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 985, 3272, C5, 4.0000000  , 1
 214, RC200,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1069, 3278, D4, 4.0000000  , 1
 216, RC204,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1063, 873, D4, 4.0000000  , 1
 218, RC299,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 639, 448, D3, 4.0000000  , 1
 219, RC302,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 987, 13, C3, 4.0000000  , 1
 220, RC309,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 457, 461, E2, 4.0000000  , 1
 221, RC311,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 892, 1061, C4, 4.0000000  , 1
 222, RC312,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 918, 361, C4, 4.0000000  , 1
 223, RC331,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 450, 449, D3, 4.0000000  , 1
 224, RC337,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 983, 18, C5, 4.0000000  , 1
 225, RC349,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1062, 274, C4, 4.0000000  , 1
 226, RC350,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 430, 995, C4, 4.0000000  , 1
 227, RC352,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 981, 3283, C5, 4.0000000  , 1
 228, RC353,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 982, 3216, C5, 4.0000000  , 1
 230, RC1377,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1, 787, F4, 4.0000000  , 1
 232, RC1384,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 354, 277, C3, 4.0000000  , 1
 233, RC1385,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 345, 275, C3, 4.0000000  , 1
