1,17,N30S5_i3,6783000RUE,20260713,101106,F,0,1,,FFPFFPPPPPNN,1,F,0,20260713,101059,0,,,0,0

 327, SR315,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 99, 96, A1, 813.9114378K , 1
 329, SR309,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 106, 96, A1, 813.9114378K , 1
 330, SR313,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 101, 96, A1, 813.9114378K , 1
 332, SR304,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 712, 96, A1, 813.9114378K , 1
 333, SR305,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 711, 96, A1, 813.9114378K , 1
 334, SR302,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 714, 96, A1, 813.9114378K , 1
 335, SR301,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 715, 96, A1, 813.9114378K , 1
 336, SR300,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 716, 96, A1, 813.9114378K , 1
 337, SC302,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 715, 429, A1, 0.3932604pF, 1
 339, SC312,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 104, 429, A1, 0.0000000pF, 1
 340, SC314,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 101, 429, A1, 0.0000000pF, 1
 344, SC315,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 100, 429, A1, 0.0000000pF, 1
 346, SC310,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 106, 429, A1, 0.0895769pF, 1
 347, SC313,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 103, 429, A1, 0.0000000pF, 1
 350, SC303,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 714, 429, A1, 0.0000000pF, 1
 352, SC301,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 711, 429, A1, 0.6192292pF, 1
 354, SC306,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 711, 429, A1, 0.0000000pF, 1
 356, SC305,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 712, 429, A1, 0.0893975pF, 1
 360, SC316,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 99, 429, A1, 0.1969462pF, 1
 361, SR323,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 99, 88, A1, 12331.4377736  , 1
 368, SR4,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 401, 993, A1, 2466.3994378K , 1
 370, SR101,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 407, 993, A1, 2466.3994378K , 1
 372, SR87,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 470, 993, A1, 2466.3994378K , 1
 374, SR104,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 408, 993, A1, 2466.3994378K , 1
 379, RER3,   200.00K ,   130.00K ,  30.0,  30.0, 3, R, 818, 429, A1, 25240.0845365K , 1
 380, RER5,   200.00K ,   130.00K ,  30.0,  30.0, 3, R, 819, 429, A1, 22120.0013204K , 1
 381, XC101,   220.00nF,   220.00nF,  30.0,  30.0, 0, C, 57, 516, A1, 0.0824212nF, 1
 384, C514/C515/C516,     2.20uF,   120.00uF,  30.0,  30.0, 4, C, 835, 429, A1, 99999.0000000uF, 1
 386, R508,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 835, 620, A1, 4.0000000  , 1
 387, R506,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 835, 838, A1, 2466.3994378K , 1
 406, C126/R125/C127,   470.00uF,   200.00uF,  30.0,  30.0, 20, C, 813, 429, A1, 0.0022457uF, 1
 411, RER2,   200.00K ,   180.00K ,  30.0,  30.0, 2, R, 429, 816, A1, 91392.7908851K , 1
 442, SR110,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 1170, 390, A1, 12331.4377736  , 1
 451, RER4,   200.00K ,   135.00K ,  30.0,  30.0, 1, R, 817, 429, A1, 11801.0517869K , 1
 457, LC9,    30.00pF,    60.00pF,  30.0,  30.0, 2, C, 241, 429, A1, 0.0628554pF, 1
 458, LR6,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 238, 243, A1, 4.0000000  , 1
 464, XC520,    10.00pF,   400.00pF,  30.0,  30.0, 2, C, 756, 429, A1, 0.0000000pF, 1
 497, R114,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 665, 434, A1, 12331.4377736  , 1
 499, R113,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 666, 431, A1, 12331.4377736  , 1
 502, R108,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 1036, 1132, A1, 2466.3994378K , 1
 503, MR203,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 1036, 1035, A1, 12331.4377736  , 1
 504, R109,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 1037, 1132, A1, 2466.3994378K , 1
 505, MR204,    33.00  ,   114.00  ,  80.0,  80.0, 2, R, 1037, 1038, A1, 81390.6377736  , 1
 507, SR14,   100.00K ,    40.35K ,  80.0,  80.0, 1, R, 95, 429, A1, 99999.9000000K , 1
 510, SC408,   150.00pF,   280.00pF,  30.0,  30.0, 2, C, 65, 429, A1, 0.1555393pF, 1
 517, PR1124,   102.00K ,    33.02K ,  30.0,  30.0, 2, R, 452, 455, A1, 24663.9994378K , 1
 523, PR1123,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 450, 429, A1, 4.0000000  , 1
 524, PC1148,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 450, 451, A1, 4.0000000  , 1
 529, PC1153,    10.00uF,   200.00uF,  30.0,  30.0, 20, C, 453, 429, A1, 0.0020920uF, 1
 541, PL1050,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 451, 620, A1, 4.0000000  , 1
 561, PR574,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 962, 1028, A1, 24663.9994378K , 1
 566, SR19,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 1170, 1141, A1, 12331.4377736  , 1
 573, PC588/PC580,    1.000uF,    1.000uF,  30.0,  30.0, 0, C, 1031, 993, A1, 0.0002057uF, 1
 577, MR206,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 1120, 429, A1, 2466.3994378K , 1
 596, R9388,    2.200K ,    2.200K ,  30.0,  30.0, 2, R, 288, 1058, A1, 813.9114378K , 1
 597, R9418,    2.200K ,    2.200K ,  30.0,  30.0, 2, R, 285, 1058, A1, 813.9114378K , 1
 601, HR302,   470.00  ,   470.00  ,  30.0,  30.0, 2, R, 428, 425, A1, 246639.4377735  , 1
 603, MR101,    23.20K ,    23.20K ,  30.0,  30.0, 2, R, 1034, 429, A1, 24417.3594378K , 1
 611, PR655,   100.00K ,   100.00K ,  90.0,  90.0, 2, R, 1058, 114, A1, 18497.9994378K , 1
 613, PR656,   100.00K ,   100.00K ,  90.0,  90.0, 2, R, 1058, 116, A1, 18497.9994378K , 1
 615, PR668,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 718, 1058, A1, 2466.3994378K , 1
 619, PR670,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 724, 726, A1, 4.0000000  , 1
 620, PR666,    90.90K ,    90.90K ,  30.0,  30.0, 2, R, 429, 115, A1, 24663.9994378K , 1
 625, PR651,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 730, 729, A1, 4.0000000  , 1
 644, PR106,    1.000K ,    1.000K ,  30.0,  30.0, 2, R, 1, 125, A1, 813.9114378K , 1
 645, PR103,    1.000K ,    1.000K ,  30.0,  30.0, 2, R, 153, 125, A1, 813.9114378K , 1
 648, PR135,    52.30K ,    52.30K ,  80.0,  80.0, 2, R, 122, 121, A1, 24663.9994378K , 1
 651, PC100,    10.00nF,    10.00nF,  30.0,  30.0, 0, C, 168, 429, A1, 0.0137443nF, 1
 656, PR110/PC103,    49.90K ,    12.00K ,  90.0,  90.0, 2, R, 429, 154, A1, 65999999999.9994354K , 1
 661, PR137,    8.870K ,    8.870K ,  30.0,  30.0, 2, R, 120, 429, A1, 2466.3994378K , 1
 663, PR133,    21.00K ,    21.00K ,  30.0,  30.0, 2, R, 124, 164, A1, 24417.3594378K , 1
 674, HR246,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 118, 1253, A1, 4.0000000  , 1
 675, HR243,    56.00  ,    56.00  ,  30.0,  30.0, 2, R, 5, 118, A1, 24663.4377736  , 1
 678, PR121,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 160, 1058, A1, 2466.3994378K , 1
 679, PR130,   100.00  ,   241.00  ,  30.0,  30.0, 0, R, 152, 170, A1, 99999.9000000  , 1
 687, PC109,    1.000nF,    2.710nF,  30.0,  30.0, 2, C, 164, 429, A1, 0.0001701nF, 1
 690, PR128,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 156, 1132, A1, 2466.3994378K , 1
 693, PR132,  100.000  ,    3.100  ,  30.0,  30.0, 2, R, 167, 429, A1, 24653.4377736  , 1
 710, PL220,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 148, 166, A1, 4.0000000  , 1
 728, PR483,    34.00K ,    18.00K ,  30.0,  30.0, 2, R, 1113, 1110, A1, 24417.3594378K , 1
 729, PR482,    40.20K ,    16.40K ,  30.0,  30.0, 2, R, 1113, 429, A1, 24417.3594378K , 1
 733, PR477,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 9, 1115, A1, 18497.9994378K , 1
 736, PR479,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 1106, 992, A1, 2466.3994378K , 1
 737, PC485,    2.200uF,    1.700uF,  30.0,  30.0, 0, C, 1115, 429, A1, 0.0005817uF, 1
 738, PR475,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1117, 429, A1, 4.0000000  , 1
 739, PR480,   100.00  ,   100.00  ,  30.0,  30.0, 2, R, 1108, 425, A1, 24663.4377736  , 1
 740, PFB470,   100.00  ,   100.00  ,  10.0,  10.0, 2, R, 1108, 425, A1, 24663.4377736  , 1
 749, SR76,   100.00  ,   100.00  ,  30.0,  30.0, 2, R, 430, 425, A1, 24663.4377736  , 1
 763, HC169,    10.00uF,   132.00uF,  90.0,  90.0, 4, C, 425, 429, A1, 99999.0000000uF, 1
 774, PR481,    1.000K ,    1.000K ,  30.0,  30.0, 2, R, 962, 1105, A1, 813.9114378K , 1
 775, PC487,   100.00nF,   100.00nF,  30.0,  30.0, 0, C, 1105, 429, A1, 0.0192893nF, 1
 796, PC752,   220.00nF,   220.00nF,  30.0,  30.0, 0, C, 926, 429, A1, 0.0655144nF, 1
 801, PC751,    10.00nF,    13.10nF,  30.0,  30.0, 1, C, 929, 925, A1, 0.0272528nF, 1
 815, PFB901,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 75, 918, A1, 4.0000000  , 1
 816, PFB900,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 75, 918, A1, 4.0000000  , 1
 817, PFB902,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 75, 918, A1, 4.0000000  , 1
 818, PFB903,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 75, 918, A1, 4.0000000  , 1
 822, PR955,    47.00K ,    31.47K ,  30.0,  30.0, 2, R, 75, 1061, A1, 24417.3594378K , 1
