1,425,IPS3_15IRH_I513420,6783001SU2,20260722,152450,F,0,2,,FFPFFPPPPPNN,1,F,4,20260722,152437,0,,,0,0,12.34 sec

 2001, UE1_126_35/,    0.748V ,    0.748V ,  73.0,  73.0, 2, U, 321, 458, B2, 2.0909587V , 1
 2002, UE1_127_35/,    0.751V ,    0.751V ,  73.0,  73.0, 2, U, 321, 465, B2, 2.0960599V , 1
 2042, PU1000_1_53,    0.635V ,    0.635V ,  90.0,  68.0, 2, U, 321, 171, B2, 1.9788903V , 1
 2043, PU1000_3_53,    0.635V ,    0.635V ,  90.0,  68.0, 2, U, 321, 169, B2, 1.9784918V , 1
 2044, PU1000_5_53,    0.675V ,    0.675V ,  90.0,  70.0, 2, U, 321, 167, B2, 2.0174686V , 1
 2045, PU1000_8_53,    0.676V ,    0.676V ,  90.0,  70.0, 2, U, 321, 166, B2, 2.0176280V , 1
 2046, PU1000_9_53,    0.605V ,    0.605V ,  90.0,  66.0, 2, U, 321, 654, B2, 1.9499566V , 1
 2049, PU1000_13_53,    0.690V ,    0.690V ,  88.0,  71.0, 2, U, 321, 164, B2, 2.0325333V , 1
 2050, PU1000_14_53,    0.859V ,    0.859V ,  51.0,  76.0, 2, U, 321, 311, B2, 2.2031864V , 1
 2051, PU1000_18_53/,    0.545V ,    0.545V ,  90.0,  63.0, 2, U, 321, 156, B2, 1.8909733V , 1
 2054, PU1000_22_53,    0.692V ,    0.692V ,  87.0,  71.0, 2, U, 321, 159, B2, 2.0374751V , 1
 2055, PU1000_23_53,    0.695V ,    0.695V ,  87.0,  71.0, 2, U, 321, 645, B2, 2.0375548V , 1
 2056, PU1000_24_53,    0.692V ,    0.692V ,  87.0,  71.0, 2, U, 321, 162, B2, 2.0369969V , 1
 2057, PU1000_25_53,    0.694V ,    0.694V ,  87.0,  71.0, 2, U, 321, 160, B2, 2.0377143V , 1
 2058, PU1000_26_53,    0.691V ,    0.691V ,  88.0,  71.0, 2, U, 321, 158, B2, 2.0324536V , 1
 2059, PU1000_27_53,    0.692V ,    0.692V ,  87.0,  71.0, 2, U, 321, 163, B2, 2.0375548V , 1
 2060, PU1000_29_53,    0.692V ,    0.692V ,  87.0,  71.0, 2, U, 321, 165, B2, 2.0372360V , 1
 2061, PU1000_32_53,    0.686V ,    0.686V ,  89.0,  70.0, 2, U, 321, 708, B2, 2.0279103V , 1
 2062, PU1000_33_53,    0.690V ,    0.690V ,  88.0,  71.0, 2, U, 321, 101, B2, 2.0329318V , 1
 2063, PU1000_35_53,    0.637V ,    0.637V ,  90.0,  68.0, 2, U, 321, 101, B2, 1.9792889V , 1
 2064, PU1000_38_53,    0.679V ,    0.679V ,  90.0,  70.0, 2, U, 321, 172, B2, 2.0228090V , 1
 2065, PU1000_41_53,    0.623V ,    0.623V ,  90.0,  67.0, 2, U, 321, 130, B2, 1.9694849V , 1
 2069, PU1000_46_53,    0.644V ,    0.644V ,  90.0,  68.0, 2, U, 321, 181, B2, 1.9892523V , 1
 2070, PU1000_48_53,    0.691V ,    0.691V ,  88.0,  71.0, 2, U, 321, 175, B2, 2.0326130V , 1
 2071, PU1000_51_53,    0.657V ,    0.657V ,  90.0,  69.0, 2, U, 321, 154, B2, 2.0028025V , 1
 2086, PU1600_3_41,    0.492V ,    0.492V ,  90.0,  59.0, 2, U, 321, 39, B2, 1.8372507V , 1
 2087, PU1600_5_41,    0.696V ,    0.696V ,  86.0,  71.0, 2, U, 321, 41, B2, 2.0422576V , 1
 2089, PU1600_17_41,    0.622V ,    0.622V ,  90.0,  67.0, 2, U, 321, 349, B2, 1.9638257V , 1
 2090, PU1600_20_41,    0.696V ,    0.696V ,  86.0,  71.0, 2, U, 321, 748, B2, 2.0423373V , 1
 2091, PU1600_21_41,    0.678V ,    0.678V ,  90.0,  70.0, 2, U, 321, 120, B2, 2.0224902V , 1
 2099, UA1_14_49,    0.697V ,    0.697V ,  86.0,  71.0, 2, U, 321, 226, B2, 2.0419387V , 1
 2102, UA1_17_49,    0.665V ,    0.665V ,  90.0,  69.0, 2, U, 321, 238, B2, 2.0079835V , 1
 2104, UA1_33_49,    0.681V ,    0.681V ,  90.0,  70.0, 2, U, 321, 238, B2, 2.0228090V , 1
 2105, UA1_34_49,    0.701V ,    0.701V ,  85.0,  71.0, 2, U, 321, 606, B2, 2.0473588V , 1
 2106, UA1_35_49,    0.701V ,    0.701V ,  85.0,  71.0, 2, U, 321, 608, B2, 2.0467212V , 1
 2108, UA1_42_49,    0.627V ,    0.627V ,  90.0,  68.0, 2, U, 321, 602, B2, 1.9686081V , 1
 2109, UA1_43_49/,    0.627V ,    0.627V ,  90.0,  68.0, 2, U, 321, 596, B2, 1.9692458V , 1
 2110, UA1_48_49,    0.701V ,    0.701V ,  85.0,  71.0, 2, U, 321, 596, B2, 2.0470400V , 1
 2122, PU5301_3_13,    0.712V ,    0.712V ,  82.0,  71.0, 2, U, 321, 92, B2, 2.0570034V , 1
 2124, PU5301_9_13,    0.609V ,    0.609V ,  90.0,  67.0, 2, U, 321, 644, B2, 1.9543405V , 1
 2132, JIO1_13_18,    0.730V ,    0.725V ,  79.0,  72.0, 2, U, 321, 353, A1, 2.0664088V , 1
 2133, JIO1_15_18,    0.815V ,    0.815V ,  59.0,  75.0, 2, U, 321, 357, A1, 2.1591880V , 1
 2134, JIO1_17_18,    0.851V ,    0.851V ,  52.0,  76.0, 2, U, 321, 373, A1, 2.1935418V , 1
 2135, JIO1_22_18,    0.447V ,    0.447V ,  90.0,  55.0, 2, U, 321, 290, A1, 1.7940494V , 1
 2136, JIO1_26_18,    0.486V ,    0.486V ,  90.0,  58.0, 2, U, 321, 287, A1, 1.8324682V , 1
 2137, JIO1_29_18,    0.855V ,    0.855V ,  51.0,  76.0, 2, U, 321, 202, A1, 2.1981648V , 1
 2138, JIO1_31_18,    0.488V ,    0.488V ,  90.0,  58.0, 2, U, 321, 288, A1, 1.8328668V , 1
 2139, JIO1_34_18,    0.448V ,    0.448V ,  90.0,  55.0, 2, U, 321, 289, A1, 1.7934117V , 1
 2146, JEDP1_14_11,    0.867V ,    0.867V ,  49.0,  76.0, 2, U, 321, 60, A1, 2.2134686V , 1
 2147, JEDP1_16_11,    0.896V ,    0.896V ,  45.0,  77.0, 2, U, 321, 14, A1, 2.2370619V , 1
 2148, JEDP1_17_11,    0.893V ,    0.893V ,  45.0,  77.0, 2, U, 321, 225, A1, 2.2374605V , 1
 2161, JEDP1_37_11,    0.858V ,    0.858V ,  51.0,  76.0, 2, U, 321, 375, A1, 2.2037443V , 1
 2181, JSSD1_1_3,    0.860V ,    0.860V ,  51.0,  76.0, 2, U, 321, 207, A1, 2.2027081V , 1
 2183, JSSD1_7_3,    0.457V ,    0.457V ,  90.0,  56.0, 2, U, 321, 168, A1, 1.8028969V , 1
 2187, JSSD1_52_3,    0.859V ,    0.859V ,  51.0,  76.0, 2, U, 321, 246, A1, 2.2035849V , 1
 2188, JSSD1_53_3,    0.445V ,    0.445V ,  90.0,  55.0, 2, U, 321, 199, A1, 1.7886293V , 1
 2197, JSSD2_5_1,    0.471V ,    0.471V ,  90.0,  57.0, 2, U, 321, 126, A1, 1.8130994V , 1
 2200, JSSD2_17_1,    0.453V ,    0.453V ,  90.0,  55.0, 2, U, 321, 127, A1, 1.7984333V , 1
 2201, JSSD2_19_1,    0.452V ,    0.452V ,  90.0,  55.0, 2, U, 321, 756, A1, 1.7982739V , 1
 2202, JSSD2_43_1,    0.454V ,    0.454V ,  90.0,  55.0, 2, U, 321, 48, A1, 1.7984333V , 1
 2203, JSSD2_52_1,    0.854V ,    0.854V ,  52.0,  76.0, 2, U, 321, 505, A1, 2.1988025V , 1
 2204, JSSD2_55_1,    0.448V ,    0.448V ,  90.0,  55.0, 2, U, 321, 128, A1, 1.7934914V , 1
 2213, JWLAN1_5_1,    0.857V ,    0.857V ,  51.0,  76.0, 2, U, 321, 585, A1, 2.1981648V , 1
 2215, JWLAN1_9_1,    0.480V ,    0.480V ,  90.0,  58.0, 2, U, 321, 95, A1, 1.8224251V , 1
 2217, JWLAN1_11_1,    0.474V ,    0.474V ,  90.0,  57.0, 2, U, 321, 517, A1, 1.8179615V , 1
 2220, JWLAN1_15_1,    0.471V ,    0.471V ,  90.0,  57.0, 2, U, 321, 383, A1, 1.8127009V , 1
 2229, JWLAN1_41_1,    0.482V ,    0.482V ,  90.0,  58.0, 2, U, 321, 196, A1, 1.8277655V , 1
 2231, JWLAN1_49_1,    0.447V ,    0.447V ,  90.0,  55.0, 2, U, 321, 98, A1, 1.7930929V , 1
 2234, JWLAN1_54_1,    0.915V ,    0.915V ,  42.0,  78.0, 2, U, 321, 705, A1, 2.2569090V , 1
 2236, JWLAN1_56_1,    0.862V ,    0.862V ,  50.0,  76.0, 2, U, 321, 709, A1, 2.2078891V , 1
 2241, JWLAN1_67_1,    0.476V ,    0.476V ,  90.0,  57.0, 2, U, 321, 102, A1, 1.8175630V , 1
 2242, JWLAN1_71_1,    0.481V ,    0.481V ,  90.0,  58.0, 2, U, 321, 102, A1, 1.8231425V , 1
 2262, JKB1_2_36,    0.848V ,    0.848V ,  53.0,  76.0, 2, U, 321, 461, A1, 2.1931433V , 1
 2264, JKB1_33_36,    0.859V ,    0.859V ,  51.0,  76.0, 2, U, 321, 487, A1, 2.2039834V , 1
 2266, JKB1_35_36,    0.820V ,    0.820V ,  58.0,  75.0, 2, U, 321, 452, A1, 2.1642893V , 1
 2272, JKBBL1_1_5,    0.533V ,    0.533V ,  90.0,  62.0, 2, U, 321, 493, A1, 1.8761478V , 1
 2273, JKBBL1_2_5,    0.818V ,    0.818V ,  58.0,  75.0, 2, U, 321, 362, A1, 2.1646081V , 1
 2276, JTP1_1_5,    0.905V ,    0.905V ,  43.0,  77.0, 2, U, 321, 499, A1, 2.2471050V , 1
 2277, JTP1_2_5,    0.897V ,    0.897V ,  45.0,  77.0, 2, U, 321, 502, A1, 2.2422429V , 1
 2284, JDDR1_7_9,    0.743V ,    0.743V ,  74.0,  73.0, 2, U, 321, 350, A1, 2.0864951V , 1
 2285, JDDR1_8_9,    0.560V ,    0.560V ,  90.0,  64.0, 2, U, 321, 279, A1, 1.9054800V , 1

Open < 321> < 119  321  605  623  658  727  729  743 > -> <321>-GND Parts:JDDR1.264; <119>-VCCIN_AUX_VSSSENSE_CPU Parts:RSHORT47
