1,2,N50Q_5,6783000Y8A,20260714,121309,F,0,1,,FFPFFPPPPPNN,1,F,3,20260714,121250,0,,,0,0

 1578, DC4/1_2,    0.400V ,    0.400V ,  30.0,  30.0, 1, D, 365, 270, C4, 1.7276004V , 1
 1579, DC4/1_3,    0.398V ,    0.398V ,  30.0,  30.0, 1, D, 365, 926, C4, 1.7254047V , 1
 1582, DC6/1_3,    0.391V ,    0.391V ,  30.0,  30.0, 1, D, 979, 355, C3, 1.7240535V , 1
 1695, PQ1203/1_6,    0.765V ,    0.765V ,  20.0,  20.0, 1, Q, 1, 3249, G6, 1.2590700V , 1
 1710, QC5/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 885, 1013, C5, 81.9321335  , 1
 1716, QC7/6_1_2/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 930, 1, C5, 56.9208576  , 1
 1718, QC7/4_3,    0.662V ,    0.662V ,  20.0,  20.0, 1, Q, 1, 380, C5, 0.9827485V , 1
 1719, QC7/3_4_5/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 380, 1, C5, 155.8762637  , 1
 1783, QH2/3_1,    0.930V ,    0.930V ,  20.0,  20.0, 1, Q, 432, 785, G4, 2.2721361V , 1
 1784, QH2/2_3_1,    1.500V ,    0.200V ,  20.0,  -1.0, 3, Q, 432, 1147, G4, 1.7235582V , 1
 1825, QSQ10/3_4_5/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 385, 1, C5, 124.8762383  , 1
 1832, QSQ12/2_3,    0.712V ,    0.712V ,  20.0,  20.0, 1, Q, 1, 389, C6, 2.0583923V , 1
 1833, QSQ12/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 389, 1, C6, 66039.7553517  , 1
 1839, QSQ16/6_1_2/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 188, 1, C5, 107.4946311  , 1
 1841, QSQ17/2_3,    0.713V ,    0.713V ,  20.0,  20.0, 1, Q, 1, 383, C5, 0.9940648V , 1
 1842, QSQ17/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 383, 1, C5, 162.9424895  , 1
 1922, USI1_61_6/,    0.803V ,    0.803V ,  35.0,  35.0, 2, U, 1, 3241, A1, 2.1501054V , 1
 2096, U1_218_1,    0.338V ,    0.338V ,  35.0,  35.0, 2, U, 1, 369, A1, 0.8765944V , 1
 2106, U1_286_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 423, A1, 1.7395923V , 1
 2107, U1_287_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 426, A1, 1.7400146V , 1
 2108, U1_289_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 412, A1, 0.1734610V , 1
 2111, U1_296_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 415, A1, 0.5795826V , 1
 2112, U1_297_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 417, A1, 0.8715274V , 1
 2115, U1_311_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 425, A1, 0.8690783V , 1
 2119, U1_320_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 413, A1, 0.5811027V , 1
 2120, U1_321_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 427, A1, 0.6961241V , 1
 2123, U1_325_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 419, A1, 0.7652044V , 1
 2124, U1_332_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 410, A1, 0.6729847V , 1
 2136, U1_412_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 416, A1, 0.8661226V , 1
 2137, U1_413_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 422, A1, 0.6719713V , 1
 2140, U1_420_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 429, A1, 0.8694161V , 1
 2141, U1_421_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 421, A1, 0.7092139V , 1
 2144, U1_433_1,    0.388V ,    0.388V ,  35.0,  35.0, 2, U, 1, 414, A1, 1.7342720V , 1
 2145, U1_436_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 411, A1, 0.8675582V , 1
